language,fleurs_config,fleurs_status,fleurs_train_files,fleurs_train_bytes,fleurs_schema_columns,ud_status,ud_treebank,ud_train_files,ud_train_bytes,ud_schema_columns,one_file_at_a_time,post_language_temp_files,error_type,error
Igbo,ig_ng,ok,parquet-data/ig_ng/train-00000-of-00001.parquet,3101670280.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Hausa,ha_ng,ok,parquet-data/ha_ng/train-00000-of-00001.parquet,3138058653.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Fulah,ff_sn,ok,parquet-data/ff_sn/train-00000-of-00001.parquet,3200500524.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Occitan,oc_fr,ok,parquet-data/oc_fr/train-00000-of-00001.parquet,3203338360.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,oc_ttb,parquet/oc_ttb/train.parquet,248352.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Zulu,zu_za,ok,parquet-data/zu_za/train-00000-of-00001.parquet,3223660665.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Kamba,kam_ke,ok,parquet-data/kam_ke/train-00000-of-00001.parquet,3395274868.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Māori,mi_nz,ok,parquet-data/mi_nz/train-00000-of-00002.parquet;parquet-data/mi_nz/train-00001-of-00002.parquet,4169642403.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Lingala,ln_cd,failed,,,,,,,,,True,,ChunkedEncodingError,"('Connection broken: IncompleteRead(1346176676 bytes read, 735488493 more expected)', IncompleteRead(1346176676 bytes read, 735488493 more expected))"
Catalan,ca_es,ok,parquet-data/ca_es/train-00000-of-00001.parquet,1694777235.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ca_ancora,parquet/ca_ancora/train.parquet,8313328.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Danish,da_dk,ok,parquet-data/da_dk/train-00000-of-00001.parquet,1697678710.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,da_ddt,parquet/da_ddt/train.parquet,1215801.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Wolof,wo_sn,ok,parquet-data/wo_sn/train-00000-of-00001.parquet,1821479927.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,wo_wtb,parquet/wo_wtb/train.parquet,323933.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Pashto,ps_af,ok,parquet-data/ps_af/train-00000-of-00001.parquet,2014857195.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
German,de_de,ok,parquet-data/de_de/train-00000-of-00001.parquet,2042593700.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,de_hdt,parquet/de_hdt/train.parquet,44313312.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Ukrainian,uk_ua,ok,parquet-data/uk_ua/train-00000-of-00001.parquet,2046705728.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,uk_iu,parquet/uk_iu/train.parquet,3960807.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Romanian,ro_ro,ok,parquet-data/ro_ro/train-00000-of-00001.parquet,2317544661.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ro_nonstandard,parquet/ro_nonstandard/train.parquet,7383418.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Lingala,ln_cd,ok,parquet-data/ln_cd/train-00000-of-00002.parquet;parquet-data/ln_cd/train-00001-of-00002.parquet,4190509986.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
